Sr. No,Subject,Body,Timestamp,Communication Channel,sentiment
21,Facing Challenges,I’m hitting a few roadblocks here. Any suggestions?,2025-01-10 17:03:12,Slack,negative
22,Excellent Execution!,"Let’s keep it up, it looks good.",2025-01-20 19:42:12,Slack,positive
23,Check-In Reminder,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-07 04:12:12,Slack,neutral
24,Workload Management Issues,I’m worried I won’t meet my deadlines,2025-01-12 20:06:12,Email,neutral
25,Great Job!,Thanks for your hard work on this project!,2025-01-19 12:29:12,Email,negative
26,Project Update,Can we sync up to discuss our progress on the project?,2025-01-22 19:41:12,Email,neutral
27,Urgent: Need Assistance,This feels like it’s dragging on. Can we speed things up?,2025-01-30 01:53:12,Microsoft Teams,neutral
28,Appreciation for Your Efforts,Excellent progress. Let’s push through the final stretch!,2025-01-29 12:42:12,Email,positive
29,Quick Sync Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-10 00:43:12,Email,negative
30,Concerns About Progress,This feels like it’s dragging on. Can we speed things up?,2025-01-14 04:02:12,Microsoft Teams,neutral
31,Well Done!,Let’s keep the momentum going!,2025-01-20 00:54:12,Slack,neutral
32,General Inquiry,I’m feeling a bit unsure about this approach. What do you think?,2025-01-11 22:21:12,Microsoft Teams,neutral
33,Struggling with Deadlines,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-02-04 07:11:12,Slack,positive
34,Fantastic Progress,Let’s keep the momentum going!,2025-02-06 06:31:12,Microsoft Teams,neutral
35,Meeting Rescheduled,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-31 18:27:12,Email,negative
36,Feeling Overwhelmed,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-16 06:47:12,Email,negative
37,Teamwork Pays Off,We’re on the right track—let’s keep pushing forward!,2025-01-16 22:32:12,Slack,positive
38,Follow-Up Required,Can you forward me the CEO’s email please?,2025-01-10 23:32:12,Slack,neutral
39,Need Clarity on Expectations,"I suppose we can proceed, but I have some concerns.",2025-01-20 12:35:12,Microsoft Teams,neutral
40,Outstanding Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-22 10:29:12,Email,positive
41,Next Steps Discussion,Can you forward me the CEO’s email please?,2025-01-25 01:44:12,Email,neutral
42,Blocked on a Task,I’m struggling with a lack of clarity around the expectations for my role,2025-01-27 18:18:12,Slack,neutral
43,Keep Up the Good Work!,Excellent progress. Let’s push through the final stretch!,2025-02-07 18:55:12,Email,positive
44,Clarification Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-18 05:07:12,Microsoft Teams,negative
45,Facing Challenges,I’m struggling with a lack of clarity around the expectations for my role,2025-01-15 03:35:12,Slack,neutral
46,Excellent Execution!,Thanks for your hard work on this project!,2025-01-12 21:01:12,Email,negative
47,Check-In Reminder,Can we sync up to discuss our progress on the project?,2025-02-02 23:50:12,Slack,neutral
48,Workload Management Issues,"I’ll try to make this work, but it’s not ideal.",2025-01-12 04:30:12,Microsoft Teams,negative
49,Great Job!,Thanks for your hard work on this project!,2025-01-30 12:14:12,Email,negative
50,Project Update,Let’s touch base later today to go over the next steps.,2025-01-30 16:16:12,Email,negative
51,Urgent: Need Assistance,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-16 16:34:12,Slack,positive
52,Appreciation for Your Efforts,Excellent progress. Let’s push through the final stretch!,2025-01-18 19:46:12,Slack,positive
53,Quick Sync Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-12 20:37:12,Email,neutral
54,Concerns About Progress,"I’m juggling a few things at the moment, so I might need some extra time.",2025-02-01 23:38:12,Slack,negative
55,Well Done!,Excellent progress. Let’s push through the final stretch!,2025-02-02 19:17:12,Email,positive
56,General Inquiry,Here’s the link to the shared drive for the project files.,2025-02-03 18:45:12,Microsoft Teams,neutral
57,Struggling with Deadlines,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-22 09:42:12,Microsoft Teams,positive
58,Fantastic Progress,"Let’s keep it up, it looks good.",2025-01-30 20:28:12,Email,positive
59,Meeting Rescheduled,Can we sync up to discuss our progress on the project?,2025-01-23 01:18:12,Microsoft Teams,neutral
60,Feeling Overwhelmed,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-23 23:24:12,Email,negative
61,Teamwork Pays Off,Excellent progress. Let’s push through the final stretch!,2025-01-14 16:28:12,Email,positive
62,Follow-Up Required,Here’s the link to the shared drive for the project files.,2025-01-23 12:22:12,Slack,neutral
63,Need Clarity on Expectations,This feels like it’s dragging on. Can we speed things up?,2025-01-11 08:47:12,Microsoft Teams,neutral
64,Outstanding Work!,Let’s keep the momentum going!,2025-01-22 02:29:12,Microsoft Teams,neutral
65,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-01-25 01:38:12,Microsoft Teams,neutral
66,Blocked on a Task,I’m hitting a few roadblocks here. Any suggestions?,2025-01-19 03:19:12,Email,negative
67,Keep Up the Good Work!,Thanks for your hard work on this project—it really paid off!,2025-01-12 13:35:12,Microsoft Teams,positive
68,Clarification Needed,Let’s touch base later today to go over the next steps.,2025-01-28 21:24:12,Slack,negative
69,Facing Challenges,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-11 04:43:12,Microsoft Teams,positive
70,Excellent Execution!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-21 06:52:12,Microsoft Teams,positive
71,Check-In Reminder,Let’s touch base later today to go over the next steps.,2025-01-18 01:51:12,Microsoft Teams,negative
72,Workload Management Issues,Can someone help me with this project? I’m having trouble with...,2025-01-12 11:05:12,Email,negative
73,Great Job!,Thanks for your hard work on this project—it really paid off!,2025-01-25 17:38:12,Email,positive
74,Project Update,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-14 11:19:12,Slack,negative
75,Urgent: Need Assistance,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-02-07 12:23:12,Slack,positive
76,Appreciation for Your Efforts,Thanks for your hard work on this project—it really paid off!,2025-01-20 00:18:12,Slack,positive
77,Quick Sync Needed,Here’s the link to the shared drive for the project files.,2025-01-10 00:22:12,Slack,neutral
78,Concerns About Progress,I’m not sure if this is the best use of our time.,2025-01-17 12:58:12,Microsoft Teams,positive
79,Well Done!,We’re on the right track—let’s keep pushing forward!,2025-01-21 11:47:12,Microsoft Teams,positive
80,General Inquiry,Can you forward me the CEO’s email please?,2025-01-12 06:17:12,Email,neutral
81,Struggling with Deadlines,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-15 04:31:12,Microsoft Teams,positive
82,Fantastic Progress,Well done! Great teamwork,2025-01-21 10:58:12,Email,positive
83,Meeting Rescheduled,Can you forward me the CEO’s email please?,2025-01-29 05:51:12,Slack,neutral
84,Feeling Overwhelmed,I’m worried I won’t meet my deadlines,2025-01-11 08:32:12,Email,neutral
85,Teamwork Pays Off,Well done! Great teamwork,2025-01-10 12:46:12,Microsoft Teams,positive
86,Follow-Up Required,Let’s touch base later today to go over the next steps.,2025-01-16 12:50:12,Email,negative
87,Need Clarity on Expectations,This feels like it’s dragging on. Can we speed things up?,2025-01-29 08:09:12,Slack,neutral
88,Outstanding Work!,Thanks for your hard work on this project!,2025-01-24 16:11:12,Microsoft Teams,negative
89,Next Steps Discussion,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-10 20:53:12,Microsoft Teams,negative
90,Blocked on a Task,I’m struggling with a lack of clarity around the expectations for my role,2025-02-01 00:41:12,Email,neutral
91,Keep Up the Good Work!,We’re on the right track—let’s keep pushing forward!,2025-01-22 22:01:12,Slack,positive
92,Clarification Needed,Let’s touch base later today to go over the next steps.,2025-01-30 04:42:12,Slack,negative
93,Facing Challenges,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-26 08:19:12,Slack,positive
94,Excellent Execution!,Well done! Great teamwork,2025-01-29 17:17:12,Email,positive
95,Check-In Reminder,Can we sync up to discuss our progress on the project?,2025-01-21 22:22:12,Slack,neutral
96,Workload Management Issues,I’m worried I won’t meet my deadlines,2025-02-01 14:28:12,Slack,neutral
97,Great Job!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-22 20:39:12,Email,positive
98,Project Update,Can we sync up to discuss our progress on the project?,2025-01-15 21:17:12,Email,neutral
99,Urgent: Need Assistance,"I suppose we can proceed, but I have some concerns.",2025-01-18 05:07:12,Microsoft Teams,neutral
100,Appreciation for Your Efforts,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-23 14:45:12,Slack,positive
101,Quick Sync Needed,Can we sync up to discuss our progress on the project?,2025-01-20 21:05:12,Email,neutral
102,Concerns About Progress,"If that’s what everyone thinks is best, I’ll go along with it.",2025-02-02 08:15:12,Email,positive
103,Well Done!,Thanks for your hard work on this project!,2025-01-12 17:29:12,Microsoft Teams,negative
104,General Inquiry,Can you forward me the CEO’s email please?,2025-01-29 23:10:12,Slack,neutral
105,Struggling with Deadlines,I’m not sure if this is the best use of our time.,2025-01-29 00:15:12,Slack,positive
106,Fantastic Progress,"Let’s keep it up, it looks good.",2025-02-02 22:47:12,Microsoft Teams,positive
107,Meeting Rescheduled,Let’s touch base later today to go over the next steps.,2025-01-27 16:30:12,Slack,negative
108,Feeling Overwhelmed,There’s not enough progress so far. We need to step it up.,2025-01-21 05:54:12,Email,positive
109,Teamwork Pays Off,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-18 18:54:12,Microsoft Teams,positive
110,Follow-Up Required,Can we sync up to discuss our progress on the project?,2025-02-01 01:20:12,Microsoft Teams,neutral
111,Need Clarity on Expectations,I’m not sure if this is the best use of our time.,2025-01-14 16:24:12,Slack,positive
112,Outstanding Work!,Thanks for your hard work on this project—it really paid off!,2025-02-08 03:43:12,Slack,positive
113,Next Steps Discussion,I’m feeling a bit unsure about this approach. What do you think?,2025-01-23 16:27:12,Email,neutral
114,Blocked on a Task,"I suppose we can proceed, but I have some concerns.",2025-02-06 16:58:12,Microsoft Teams,neutral
115,Keep Up the Good Work!,Thanks for your hard work on this project!,2025-01-25 01:33:12,Email,negative
116,Clarification Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-16 05:42:12,Email,negative
117,Facing Challenges,"I suppose we can proceed, but I have some concerns.",2025-02-01 01:49:12,Microsoft Teams,neutral
118,Excellent Execution!,Let’s keep the momentum going!,2025-01-11 22:15:12,Microsoft Teams,neutral
119,Check-In Reminder,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-04 11:06:12,Microsoft Teams,neutral
120,Workload Management Issues,Can someone help me with this project? I’m having trouble with...,2025-02-01 20:37:12,Microsoft Teams,negative
121,Great Job!,Thanks for your hard work on this project!,2025-01-15 12:21:12,Slack,negative
122,Project Update,I’m feeling a bit unsure about this approach. What do you think?,2025-01-24 07:00:12,Email,neutral
123,Urgent: Need Assistance,This feels like it’s dragging on. Can we speed things up?,2025-01-14 11:21:12,Email,neutral
124,Appreciation for Your Efforts,"Let’s keep it up, it looks good.",2025-01-19 18:28:12,Microsoft Teams,positive
125,Quick Sync Needed,Can you forward me the CEO’s email please?,2025-01-31 12:07:12,Slack,neutral
126,Concerns About Progress,I’m feeling really burnt out and overwhelmed. I think I need a break,2025-01-09 22:19:12,Slack,positive
127,Well Done!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-28 13:55:12,Email,positive
128,General Inquiry,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-08 00:34:12,Email,neutral
129,Struggling with Deadlines,This feels like it’s dragging on. Can we speed things up?,2025-01-23 13:57:12,Slack,neutral
130,Fantastic Progress,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-05 20:48:12,Microsoft Teams,positive
131,Meeting Rescheduled,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-02 09:17:12,Slack,neutral
132,Feeling Overwhelmed,"I’m juggling a few things at the moment, so I might need some extra time.",2025-02-03 23:49:12,Microsoft Teams,negative
133,Teamwork Pays Off,Let’s keep the momentum going!,2025-02-08 19:21:12,Email,neutral
134,Follow-Up Required,Can you forward me the CEO’s email please?,2025-01-15 23:18:12,Email,neutral
135,Need Clarity on Expectations,I’m swamped with deadlines this week,2025-02-05 17:41:12,Email,neutral
136,Outstanding Work!,Well done! Great teamwork,2025-02-02 10:35:12,Microsoft Teams,positive
137,Next Steps Discussion,Here’s the link to the shared drive for the project files.,2025-02-02 05:39:12,Email,neutral
138,Blocked on a Task,This feels like it’s dragging on. Can we speed things up?,2025-01-22 23:06:12,Slack,neutral
139,Keep Up the Good Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-14 06:57:12,Slack,positive
140,Clarification Needed,Let’s touch base later today to go over the next steps.,2025-02-03 00:28:12,Email,negative
141,Facing Challenges,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-17 23:05:12,Microsoft Teams,positive
142,Excellent Execution!,We’re on the right track—let’s keep pushing forward!,2025-01-23 12:05:12,Email,positive
143,Check-In Reminder,I’m feeling a bit unsure about this approach. What do you think?,2025-01-23 07:42:12,Email,neutral
144,Workload Management Issues,"I’ll try to make this work, but it’s not ideal.",2025-01-15 04:19:12,Slack,negative
145,Great Job!,Excellent progress. Let’s push through the final stretch!,2025-02-03 07:04:12,Slack,positive
146,Project Update,Here’s the link to the shared drive for the project files.,2025-02-02 16:27:12,Microsoft Teams,neutral
147,Urgent: Need Assistance,"I suppose we can proceed, but I have some concerns.",2025-01-11 17:54:12,Slack,neutral
148,Appreciation for Your Efforts,Let’s keep the momentum going!,2025-01-11 12:28:12,Microsoft Teams,neutral
149,Quick Sync Needed,Here’s the link to the shared drive for the project files.,2025-01-21 03:02:12,Microsoft Teams,neutral
150,Concerns About Progress,"If that’s what everyone thinks is best, I’ll go along with it.",2025-01-21 08:45:12,Slack,positive
151,Well Done!,Excellent progress. Let’s push through the final stretch!,2025-02-02 22:48:12,Email,positive
152,General Inquiry,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-07 09:06:12,Slack,neutral
153,Struggling with Deadlines,I’m struggling with a lack of clarity around the expectations for my role,2025-01-14 20:51:12,Email,neutral
154,Fantastic Progress,Excellent progress. Let’s push through the final stretch!,2025-01-13 16:35:12,Email,positive
155,Meeting Rescheduled,Here’s the link to the shared drive for the project files.,2025-01-11 16:41:12,Email,neutral
156,Feeling Overwhelmed,Can someone help me with this project? I’m having trouble with...,2025-01-29 16:14:12,Microsoft Teams,negative
157,Teamwork Pays Off,Thanks for your hard work on this project—it really paid off!,2025-02-06 21:57:12,Microsoft Teams,positive
158,Follow-Up Required,Here’s the link to the shared drive for the project files.,2025-01-10 19:05:12,Microsoft Teams,neutral
159,Need Clarity on Expectations,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-20 09:42:12,Email,negative
160,Outstanding Work!,Excellent progress. Let’s push through the final stretch!,2025-01-22 22:33:12,Microsoft Teams,positive
161,Next Steps Discussion,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-17 10:56:12,Microsoft Teams,neutral
162,Blocked on a Task,"I suppose we can proceed, but I have some concerns.",2025-02-07 02:41:12,Slack,neutral
163,Keep Up the Good Work!,Excellent progress. Let’s push through the final stretch!,2025-02-04 20:36:12,Slack,positive
164,Clarification Needed,I’m feeling a bit unsure about this approach. What do you think?,2025-01-30 10:28:12,Email,neutral
165,Facing Challenges,I’m hitting a few roadblocks here. Any suggestions?,2025-01-16 06:51:12,Slack,negative
166,Excellent Execution!,Excellent progress. Let’s push through the final stretch!,2025-01-17 16:56:12,Email,positive
167,Check-In Reminder,I’m feeling a bit unsure about this approach. What do you think?,2025-02-05 16:00:12,Email,neutral
168,Workload Management Issues,Can someone help me with this project? I’m having trouble with...,2025-01-12 06:52:12,Microsoft Teams,negative
169,Great Job!,Excellent progress. Let’s push through the final stretch!,2025-01-14 02:56:12,Microsoft Teams,positive
170,Project Update,Can you forward me the CEO’s email please?,2025-01-25 03:41:12,Microsoft Teams,neutral
171,Urgent: Need Assistance,"I’ll try to make this work, but it’s not ideal.",2025-02-05 08:20:12,Email,negative
172,Appreciation for Your Efforts,"Let’s keep it up, it looks good.",2025-01-23 21:24:12,Slack,positive
173,Quick Sync Needed,Can we sync up to discuss our progress on the project?,2025-01-13 18:37:12,Email,neutral
174,Concerns About Progress,"I suppose we can proceed, but I have some concerns.",2025-02-08 01:57:12,Microsoft Teams,neutral
175,Well Done!,Let’s keep the momentum going!,2025-02-05 06:11:12,Email,neutral
176,General Inquiry,I’m feeling a bit unsure about this approach. What do you think?,2025-01-15 22:36:12,Slack,neutral
177,Struggling with Deadlines,I’m swamped with deadlines this week,2025-01-12 00:48:12,Email,neutral
178,Fantastic Progress,"Let’s keep it up, it looks good.",2025-02-06 03:55:12,Email,positive
179,Meeting Rescheduled,I’m feeling a bit unsure about this approach. What do you think?,2025-01-14 00:44:12,Microsoft Teams,neutral
180,Feeling Overwhelmed,There’s not enough progress so far. We need to step it up.,2025-01-29 23:48:12,Microsoft Teams,positive
181,Teamwork Pays Off,Thanks for your hard work on this project!,2025-02-01 19:56:12,Slack,negative
182,Follow-Up Required,Here’s the link to the shared drive for the project files.,2025-02-01 07:31:12,Microsoft Teams,neutral
183,Need Clarity on Expectations,"I’ll try to make this work, but it’s not ideal.",2025-02-02 10:06:12,Email,negative
184,Outstanding Work!,Thanks for your hard work on this project!,2025-01-27 04:15:12,Email,negative
185,Next Steps Discussion,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-02-07 02:06:12,Email,negative
186,Blocked on a Task,I’m hitting a few roadblocks here. Any suggestions?,2025-02-01 04:47:12,Microsoft Teams,negative
187,Keep Up the Good Work!,Well done! Great teamwork,2025-01-28 06:08:12,Microsoft Teams,positive
188,Clarification Needed,Can we sync up to discuss our progress on the project?,2025-01-28 08:22:12,Slack,neutral
189,Facing Challenges,I’m not sure if this is the best use of our time.,2025-02-02 07:21:12,Microsoft Teams,positive
190,Excellent Execution!,We’re on the right track—let’s keep pushing forward!,2025-01-30 06:25:12,Microsoft Teams,positive
191,Check-In Reminder,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-14 18:02:12,Slack,neutral
192,Workload Management Issues,I’m hitting a few roadblocks here. Any suggestions?,2025-01-26 14:26:12,Slack,negative
193,Great Job!,Thanks for your hard work on this project—it really paid off!,2025-01-16 03:09:12,Email,positive
194,Project Update,Here’s the link to the shared drive for the project files.,2025-01-28 13:42:12,Slack,neutral
195,Urgent: Need Assistance,There’s not enough progress so far. We need to step it up.,2025-02-02 21:29:12,Email,positive
196,Appreciation for Your Efforts,Well done! Great teamwork,2025-01-12 14:22:12,Microsoft Teams,positive
197,Quick Sync Needed,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-11 03:36:12,Slack,negative
198,Concerns About Progress,"I’m juggling a few things at the moment, so I might need some extra time.",2025-02-05 20:07:12,Microsoft Teams,negative
199,Well Done!,Let’s keep the momentum going!,2025-01-29 07:04:12,Slack,neutral
200,General Inquiry,Here’s the link to the shared drive for the project files.,2025-01-15 04:15:12,Email,neutral
201,Struggling with Deadlines,"I suppose we can proceed, but I have some concerns.",2025-01-12 05:42:12,Microsoft Teams,neutral
202,Fantastic Progress,Excellent progress. Let’s push through the final stretch!,2025-02-02 00:20:12,Slack,positive
203,Meeting Rescheduled,Here’s the link to the shared drive for the project files.,2025-01-18 13:22:12,Microsoft Teams,neutral
204,Feeling Overwhelmed,I’m worried I won’t meet my deadlines,2025-01-28 18:20:12,Email,neutral
205,Teamwork Pays Off,"Let’s keep it up, it looks good.",2025-01-30 18:13:12,Slack,positive
206,Follow-Up Required,I’m feeling a bit unsure about this approach. What do you think?,2025-01-14 18:09:12,Slack,neutral
207,Need Clarity on Expectations,I’m not sure if this is the best use of our time.,2025-01-25 05:08:12,Microsoft Teams,positive
208,Outstanding Work!,We’re on the right track—let’s keep pushing forward!,2025-01-23 18:41:12,Email,positive
209,Next Steps Discussion,Can you forward me the CEO’s email please?,2025-01-12 10:01:12,Slack,neutral
210,Blocked on a Task,"I’ll try to make this work, but it’s not ideal.",2025-02-04 08:14:12,Microsoft Teams,negative
211,Keep Up the Good Work!,Excellent progress. Let’s push through the final stretch!,2025-01-15 16:05:12,Email,positive
212,Clarification Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-19 14:56:12,Email,neutral
213,Facing Challenges,"I’m juggling a few things at the moment, so I might need some extra time.",2025-01-25 01:00:12,Microsoft Teams,negative
214,Excellent Execution!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-01-17 16:50:12,Slack,positive
215,Check-In Reminder,Can you forward me the CEO’s email please?,2025-01-17 15:15:12,Microsoft Teams,neutral
216,Workload Management Issues,I’m worried I won’t meet my deadlines,2025-01-22 03:23:12,Slack,neutral
217,Great Job!,Excellent progress. Let’s push through the final stretch!,2025-01-29 14:32:12,Microsoft Teams,positive
218,Project Update,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-02-06 17:58:12,Email,negative
219,Urgent: Need Assistance,There’s not enough progress so far. We need to step it up.,2025-01-15 22:58:12,Slack,positive
220,Appreciation for Your Efforts,Let’s keep the momentum going!,2025-01-25 09:28:12,Slack,neutral
221,Quick Sync Needed,I’m feeling a bit unsure about this approach. What do you think?,2025-01-16 09:05:12,Microsoft Teams,neutral
222,Concerns About Progress,This feels like it’s dragging on. Can we speed things up?,2025-02-02 05:23:12,Email,neutral
223,Well Done!,Thanks for your hard work on this project!,2025-01-10 17:32:12,Slack,negative
224,General Inquiry,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-13 11:04:12,Microsoft Teams,negative
225,Struggling with Deadlines,"If that’s what everyone thinks is best, I’ll go along with it.",2025-02-04 15:07:12,Microsoft Teams,positive
226,Fantastic Progress,Let’s keep the momentum going!,2025-01-11 21:25:12,Microsoft Teams,neutral
227,Meeting Rescheduled,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-23 21:32:12,Email,negative
228,Feeling Overwhelmed,Can someone help me with this project? I’m having trouble with...,2025-01-10 23:34:12,Microsoft Teams,negative
229,Teamwork Pays Off,We’re on the right track—let’s keep pushing forward!,2025-01-13 11:43:12,Email,positive
230,Follow-Up Required,Can you forward me the CEO’s email please?,2025-01-25 01:51:12,Email,neutral
231,Need Clarity on Expectations,I’m hitting a few roadblocks here. Any suggestions?,2025-01-28 15:16:12,Email,negative
232,Outstanding Work!,We’re on the right track—let’s keep pushing forward!,2025-01-31 23:39:12,Email,positive
233,Next Steps Discussion,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-06 13:45:12,Slack,neutral
234,Blocked on a Task,"I’ll try to make this work, but it’s not ideal.",2025-01-31 00:33:12,Slack,negative
235,Keep Up the Good Work!,Well done! Great teamwork,2025-02-02 22:26:12,Slack,positive
236,Clarification Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-02-05 00:39:12,Microsoft Teams,neutral
237,Facing Challenges,There’s not enough progress so far. We need to step it up.,2025-01-11 19:51:12,Microsoft Teams,positive
238,Excellent Execution!,We’re on the right track—let’s keep pushing forward!,2025-01-16 10:41:12,Slack,positive
239,Check-In Reminder,This isn’t quite what I had in mind. Can we make a few adjustments?,2025-01-26 08:32:12,Email,negative
240,Workload Management Issues,This feels like it’s dragging on. Can we speed things up?,2025-01-11 15:12:12,Email,neutral
241,Great Job!,Thanks for your hard work on this project!,2025-01-14 11:20:12,Microsoft Teams,negative
242,Project Update,Can we sync up to discuss our progress on the project?,2025-02-04 22:03:12,Email,neutral
243,Urgent: Need Assistance,"I’ll try to make this work, but it’s not ideal.",2025-01-10 07:44:12,Slack,negative
244,Appreciation for Your Efforts,Thanks for your hard work on this project—it really paid off!,2025-02-03 11:10:12,Email,positive
245,Quick Sync Needed,Let’s touch base later today to go over the next steps.,2025-02-07 20:49:12,Slack,negative
246,Concerns About Progress,I’ve got a lot on my plate right now—let’s see if we can prioritize.,2025-02-06 18:10:12,Email,positive
247,Well Done!,Excellent progress. Let’s push through the final stretch!,2025-01-14 23:55:12,Email,positive
248,General Inquiry,I’m feeling a bit unsure about this approach. What do you think?,2025-01-18 23:19:12,Email,neutral
249,Struggling with Deadlines,"I suppose we can proceed, but I have some concerns.",2025-01-20 01:19:12,Slack,neutral
250,Fantastic Progress,Let’s keep the momentum going!,2025-01-14 11:18:12,Microsoft Teams,neutral
251,Meeting Rescheduled,Let’s touch base later today to go over the next steps.,2025-01-18 21:57:12,Microsoft Teams,negative
252,Feeling Overwhelmed,I’m struggling with a lack of clarity around the expectations for my role,2025-01-16 02:16:12,Slack,neutral
253,Teamwork Pays Off,Thanks for your hard work on this project!,2025-01-15 11:41:12,Slack,negative
254,Follow-Up Required,Let’s touch base later today to go over the next steps.,2025-01-11 11:04:12,Slack,negative
255,Need Clarity on Expectations,I’m struggling with a lack of clarity around the expectations for my role,2025-01-30 13:12:12,Microsoft Teams,neutral
256,Outstanding Work!,Great work. Let’s schedule a meeting to discuss the next steps.,2025-02-06 00:23:12,Microsoft Teams,positive
257,Next Steps Discussion,I’m feeling a bit unsure about this approach. What do you think?,2025-01-20 20:27:12,Slack,neutral
258,Blocked on a Task,"I’m juggling a few things at the moment, so I might need some extra time.",2025-02-02 18:35:12,Microsoft Teams,negative
259,Keep Up the Good Work!,Well done! Great teamwork,2025-01-22 16:23:12,Email,positive
260,Clarification Needed,The meeting has been rescheduled to 3 PM. Please update your calendars.,2025-01-11 15:58:12,Email,neutral
261,Facing Challenges,I’m hitting a few roadblocks here. Any suggestions?,2025-01-27 02:59:12,Slack,negative
262,Excellent Execution!,Well done! Great teamwork,2025-01-15 14:57:12,Microsoft Teams,positive
